dataset,method,run_tag,example_idx,problem_ordinal,step,phase,draft_latency_ms,prm_latency_ms,target_latency_ms,draft_input_tokens,draft_output_tokens,prm_input_tokens,prm_output_rewards,target_input_tokens,target_output_tokens,draft_calls,prm_calls,target_calls
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,0,0,1,draft|draft_verify,107.54895210266113,5072.937726974487,0.0,92,27,66,1,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,0,0,2,draft|draft_verify,359.05909538269043,57.33013153076172,0.0,119,91,159,2,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,0,0,3,draft|draft_verify,320.6150531768799,67.52514839172363,0.0,210,83,244,3,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,0,0,4,draft|draft_verify,523.1287479400635,102.76579856872559,0.0,293,137,383,4,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,0,0,5,draft|draft_verify,78.39679718017578,124.96042251586914,0.0,430,19,404,5,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,1,1,1,draft|draft_verify,324.2030143737793,30.53903579711914,0.0,88,88,122,1,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,1,1,2,draft|draft_verify,180.82499504089355,49.72076416015625,0.0,176,49,173,2,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,1,1,3,draft|draft_verify,150.27451515197754,59.4632625579834,0.0,225,39,214,3,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,1,1,4,draft|draft_verify,106.84466361999512,59.29827690124512,0.0,264,25,241,4,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,2,2,1,draft|draft_verify,208.85801315307617,45.763254165649414,0.0,129,56,131,1,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,2,2,2,draft|draft_verify,175.4894256591797,49.83019828796387,0.0,185,47,180,2,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,2,2,3,draft|draft_verify|target|target_rescue_verify,415.01665115356445,163.14959526062012,2003.312587738037,232,107,566,6,232,95,1,2,1
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,2,2,4,draft|draft_verify,403.1486511230469,99.49874877929688,0.0,327,98,377,4,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,2,2,5,draft|draft_verify,423.8705635070801,148.41914176940918,0.0,425,109,488,5,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,2,2,6,draft|draft_verify,357.84244537353516,128.46946716308594,0.0,534,84,574,6,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,2,2,7,draft|draft_verify,282.24921226501465,151.46136283874512,0.0,618,74,650,7,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,2,2,8,draft|draft_verify,71.55513763427734,151.29399299621582,0.0,692,15,667,8,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,3,3,1,draft|draft_verify,170.78161239624023,29.921770095825195,0.0,83,46,75,1,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,3,3,2,draft|draft_verify,133.76426696777344,29.38532829284668,0.0,129,36,113,2,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config1-bbeam1-gaokao2023en-exclusive0817,3,3,3,draft|draft_verify,171.67425155639648,49.55697059631348,0.0,165,47,162,3,0,0,1,1,0
